ast_node_count,case_id,certificate_bytes,clause_count,literal_count,method,serialized_bytes,split
0,f2c-calibration-0072,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0073,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0074,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0075,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0076,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0077,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0078,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0079,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0080,0,0,0,DenyAll,0,calibration
22,f2c-calibration-0041,0,3,6,Declared-Contract Monitor,1984,calibration
33,f2c-calibration-0042,0,4,9,Declared-Contract Monitor,2787,calibration
10,f2c-calibration-0043,0,1,2,Declared-Contract Monitor,1157,calibration
34,f2c-calibration-0044,0,4,10,Declared-Contract Monitor,2892,calibration
22,f2c-calibration-0045,0,3,6,Declared-Contract Monitor,1984,calibration
22,f2c-calibration-0046,0,3,6,Declared-Contract Monitor,1984,calibration
33,f2c-calibration-0047,0,4,9,Declared-Contract Monitor,2787,calibration
22,f2c-calibration-0048,0,3,6,Declared-Contract Monitor,1984,calibration
22,f2c-calibration-0049,0,3,6,Declared-Contract Monitor,1984,calibration
32,f2c-calibration-0050,0,4,8,Declared-Contract Monitor,2716,calibration
22,f2c-calibration-0051,0,3,6,Declared-Contract Monitor,1984,calibration
33,f2c-calibration-0052,0,4,9,Declared-Contract Monitor,2787,calibration
10,f2c-calibration-0053,0,1,2,Declared-Contract Monitor,1157,calibration
34,f2c-calibration-0054,0,4,10,Declared-Contract Monitor,2892,calibration
22,f2c-calibration-0055,0,3,6,Declared-Contract Monitor,1984,calibration
22,f2c-calibration-0056,0,3,6,Declared-Contract Monitor,1984,calibration
33,f2c-calibration-0057,0,4,9,Declared-Contract Monitor,2787,calibration
22,f2c-calibration-0058,0,3,6,Declared-Contract Monitor,1984,calibration
22,f2c-calibration-0059,0,3,6,Declared-Contract Monitor,1984,calibration
32,f2c-calibration-0060,0,4,8,Declared-Contract Monitor,2716,calibration
22,f2c-calibration-0061,0,3,6,Declared-Contract Monitor,1984,calibration
33,f2c-calibration-0062,0,4,9,Declared-Contract Monitor,2787,calibration
10,f2c-calibration-0063,0,1,2,Declared-Contract Monitor,1157,calibration
